conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,resolver problemas técnicos,released,skill/competence,cross-sector,,"Identificar  e resolver os problemas técnicos na operação dos dispositivos e ambientes digitais (desde a deteção do problema à resolução de problemas mais complexos).
",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,resolução de problemas com a ajuda de ferramentas e equipamentos TIC | identificar problemas | resolver problemas informáticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,utilizar serviços em linha,released,skill/competence,cross-sector,utilizar serviços eletrónicos,"Participar na sociedade através da utilização de serviços digitais públicos e privados. Procurar oportunidades de autocapacitação e participação ativa na sociedade através de tecnologias digitais adequadas.
",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicação e colaboração digitais | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,utilizar de forma criativa as tecnologias digitais,released,skill/competence,cross-sector,,"Utilizar ferramentas e tecnologias digitais para criar conhecimento e inovar processos e produtos. Empenhar-se, individual e coletivamente, para compreender e resolver de forma inovadora e criativa situações-problema em ambientes digitais.
",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,resolução de problemas com a ajuda de ferramentas e equipamentos TIC | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"avaliar dados, informações e conteúdos digitais",released,skill/competence,cross-sector,,"Analisar, comparar e avaliar de forma crítica a credibilidade e a fiabilidade das fontes de dados, informações e conteúdos digitais. Analisar, interpretar e avaliar de forma crítica os dados, informações e conteúdos digitais.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,tratamento de dados digitais | analisar e avaliar informações e dados
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programação informática,released,knowledge,cross-sector,,"As técnicas e os princípios de desenvolvimento de software, como análise, algoritmos, codificação, teste e compilação de paradigmas de programação (por exemplo, programação orientada por objetos, programação funcional) e de linguagens de programação.",http://data.europa.eu/esco/isced-f/0613,desenvolvimento e análise de software e aplicações informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,identificar lacunas nas competências digitais,released,skill/competence,cross-sector,,"Estar ciente dos aspetos a melhorar ou atualizar na sua competência digital. Ser capaz de apoiar outros tendo por base a sua competencia digital. Procurar oportunidades de autodesenvolvimento e e manter-se a par da  evolução digital.
",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"resolução de problemas com a ajuda de ferramentas e equipamentos TIC | monitorizar, inspecionar e testar"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,colaborar através das tecnologias digitais,released,skill/competence,cross-sector,,Utilizar ferramentas e tecnologias digitais para processos de colaboração e para a coconstrução e cocriação de recursos e conhecimentos.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicação e colaboração digitais | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,proteger dados pessoais e privacidade,released,skill/competence,cross-sector,,"Proteger dados pessoais e privacidade em ambientes digitais. Compreender como utilizar e partilhar informação pessoalmente identificável, sendo ao mesmo tempo capaz de se proteger a si próprio e aos outros de danos. Compreender que os serviços digitais utilizam uma «política de privacidade» para informar sobre o modo como os dados pessoais são utilizados.
",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,segurança TIC | proteger a privacidade e os dados pessoais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,partilhar através das tecnologias digitais,released,skill/competence,cross-sector,,"Partilhar dados, informações e conteúdos digitais com terceiros utilizando tecnologias digitais apropriadas. Atuar como intermediário e conhecer as práticas de referenciação e atribuição de autoria.
",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicação e colaboração digitais | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,segurança TIC,released,,,,"Proteção pessoal, proteção de dados, proteção da identidade digital, medidas de segurança, utilização segura e sustentável.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,proteger dispositivos de tic
