conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"As técnicas e os princípios de desenvolvimento de software, tais como a análise, os algoritmos, a codificação, o ensaio e a compilação de paradigmas de programação em Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programação informática | desenvolvimento e análise de software e aplicações informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,desenvolvimento incremental,released,knowledge,sector-specific,,O modelo de desenvolvimento incremental é uma metodologia para conceber sistemas e aplicações de software.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,metodologias de gestão de projetos de informática | desenvolvimento e análise de software e aplicações informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"O programa informático KDevelop é um conjunto de ferramentas de desenvolvimento de software para escrever programas, tais como compilador, programa de depuração, realces do código, embalados numa interface unificada do utilizador. É desenvolvido pela comunidade de software KDE.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,software de ambiente de desenvolvimento integrado | design e administração de bases de dados e de redes informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (sistemas de gestão da aprendizagem),released,knowledge,sector-specific,,"O sistema de aprendizagem Absorb é uma plataforma de aprendizagem eletrónica para a criação, gestão e realização de cursos de educação em linha ou programas de formação para estudantes do ensino secundário.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,sistemas de gestão da aprendizagem | design e administração de bases de dados e de redes informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,desenvolver arquiteturas inovadoras em cadeia de blocos,released,skill/competence,cross-sector,construir arquiteturas inovadoras de blockchain,"Desenvolver novas arquiteturas de cadeia de blocos que abordem as propriedades e prioridades necessárias a aplicações específicas. Debater as vantagens e as insuficiências dessas novas arquiteturas em relação às existentes.
  ",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,conceber sistemas ou aplicações tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,engenharia de redes,released,knowledge,sector-specific,arquitetura de rede,"Subdomínio da tecnologia informática que diz respeito à gestão da conectividade das redes através de dados, voz, chamadas e serviços de rede sem fios.
  ",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,tecnologia informática | eletrónica e automação
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrar dados existentes,released,skill/competence,sector-specific,,"Aplicar métodos de migração e conversão para dados existentes, para transferir ou converter dados entre formatos, sistemas de computador ou armazenamento.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gerir, recolher e armazenar dados digitais"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,definir a estrutura física de uma base de dados,released,skill/competence,sector-specific,definir a estrutura física de bases de dados | configurar a estrutura de uma base de dados | configurar bases de dados | definir a estrutura física das bases de dados | definir a estrutura de armazenamento físico de dados,"Especificar a configuração física dos ficheiros de base de dados num determinado suporte. Isto consiste em especificações detalhadas de opções de indexação, tipos de dados e elementos de dados colocados no dicionário de dados.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gerir, recolher e armazenar dados digitais"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"A plataforma Maltego é uma aplicação forense que utiliza a extração de dados para obter uma visão geral do ambiente das organizações, testando as deficiências de segurança do sistema em caso de acesso não autorizado, e demonstra a complexidade das falhas das infraestruturas.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,desenvolvimento e análise de software e aplicações informáticas | ferramenta de teste de penetração
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operar aparelho de rádio,released,skill/competence,cross-sector,,"Configurar e operar dispositivos de rádio e acessórios, como consolas de transmissão, amplificadores e microfones. Entender os fundamentos da linguagem do operador de rádio e, quando necessário, fornecer instruções sobre o correto manuseamento do equipamento de rádio.",http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,coordenar comunicações à distância | operar equipamento de comunicação
