conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,formar o pessoal para reduzir o desperdício alimentar,released,skill/competence,sector-specific,,"Estabelecer novas ações de formação para transmitir ao pessoal os conhecimentos necessários em matéria de prevenção do desperdício alimentar e práticas de reciclagem de alimentos. Assegurar que o pessoal compreende os métodos e ferramentas de reciclagem de alimentos, por exemplo, separando os resíduos.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,dar formação em procedimentos operacionais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,desenvolver conceitos de poupança de energia,released,skill/competence,cross-sector,,"Usar os resultados de investigação atuais e colaborar com especialistas para otimizar ou desenvolver conceitos, equipamentos e processos de produção que exijam uma menor quantidade de energia, tais como novas práticas e materiais de isolamento.",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,pensar de forma inovadora | desenvolver políticas e procedimentos operacionais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,instalar bombas de calor,released,skill/competence,cross-sector,,"Instalar bombas de calor, que utilizam as propriedades físicas de substâncias designadas fluidos refrigerantes para extrair calor de um ambiente e libertá-lo num ambiente mais quente contra o fluxo de calor espontâneo. Criar as aberturas necessárias e instalar as partes internas e externas da bomba de calor. Ligar a eletricidade e quaisquer tubagens e configurar a bomba de calor.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"instalar equipamentos de aquecimento, ventilação e ar condicionado"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,projetar instalações de biomassa,released,skill/competence,sector-specific,,"Projetar o sistema de produção de energia a partir de biomassa. Determinar os limites de construção, tais como o espaço e o peso necessários. Calcular indicadores como a capacidade, o caudal e as temperaturas. Fazer descrições e desenhos pormenorizados do projeto.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,conceber sistemas ou equipamento elétricos e eletrónicos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,efetuar a manutenção de equipamentos de triagem,released,skill/competence,sector-specific,,"Executar a manutenção de rotina, bem como pequenas reparações no equipamento usado para triagem de resíduos e materiais recicláveis.",http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,manter o equipamento operacional | instalar componentes de madeira e metal
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adotar formas de promover a biodiversidade e o bem-estar dos animais,released,skill/competence,transversal,,"Adotar comportamentos que ajudem a manter ecossistemas estáveis e a combater a extinção em massa, por exemplo, fazendo escolhas alimentares conscientes que favoreçam a produção de alimentos biológicos e o bem-estar dos animais.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,aplicar aptidões e competências relacionadas com o ambiente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,realizar estudos de viabilidade sobre sistemas de gestão de edifícios,released,skill/competence,sector-specific,,"Avaliar e determinar o potencial de um sistema de gestão de edifícios. Realizar um estudo para determinar a contribuição dos ganhos de energia, os custos e as restrições, e realizar investigação para fundamentar a tomada de decisões.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,executar estudo de viabilidade | analisar operações comerciais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,regulamentação relativa à exposição a materiais contaminados,released,knowledge,cross-sector,,"A regulamentação relativa à exposição a materiais contaminados ou a um ambiente perigoso que regula as ações relativas à avaliação dos riscos, à minimização da exposição, à quarentena e ao tratamento das pessoas expostas.",http://data.europa.eu/esco/isced-f/1021,saúde pública
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,remover materiais contaminados,released,skill/competence,sector-specific,,"Remover os materiais e equipamentos contaminados com substâncias perigosas, a fim de proteger a área envolvente de uma maior contaminação e de tratar ou eliminar os materiais contaminados.",http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,avaliar casos de contaminação | manusear e eliminar materiais perigosos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,resgatar animais,released,skill/competence,sector-specific,,Resgatar animais encontrados em situações que apresentem uma ameaça imediata ou potencial para o seu bem-estar.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,manter a fazer aplicar a segurança física
