conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,Engenheiro biomédico/Engenheira biomédica,released,Engenheira biomédica | Engenheiro biomédico,"Os engenheiros biomédicos combinam o conhecimento dos princípios da engenharia e as descobertas biológicas para o desenvolvimento de tratamentos médicos, medicamentos e cuidados gerais de saúde. Podem desenvolver soluções que vão desde a melhoria dos componentes de medicamentos convencionais até ao desenvolvimento de implantes e o tratamento de tecidos.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,Engenheiro biológico/Engenheira biológica
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,Criminólogo/Criminóloga,released,Criminólogo | Criminóloga,"Os criminólogos estudam condições da natureza humana, como os aspetos sociais e psicológicos, passíveis de levar um indivíduo a cometer atos criminosos. Observam e analisam diferentes fatores, desde as condições comportamentais até à origem social e ao ambiente dos suspeitos, a fim de prestarem aconselhamento a organizações sobre a prevenção da criminalidade.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos e especialistas similares"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,Professor de Economia/Professora de Economia,released,Professor de Economia | Professor universitário de Economia | Professora de Economia | Professora universitária de Economia,"Os professores de economia são professores, professores titulares, professores assistentes ou tutores que ensinam alunos no seu domínio de estudos, a economia. Desenvolvem programas curriculares, preparam aulas (palestras, aulas práticas, seminários, ações de formação, etc.), acompanham os resultados da aprendizagem, supervisionam o percurso académico. Realizam investigação académica no seu domínio da economia e apresentam as suas conclusões em conferências e publicações. Estão envolvidos em algumas funções de gestão das universidades.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,Professor de Medicina/Professora de Medicina,released,Professor universitário de Medicina | Professora de Medicina | Professor de Medicina | Professora universitária de Medicina,"Os professores de Medicina são professores universitários ou docentes em geral e, frequentemente, médicos que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, a medicina, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames, na condução de práticas de laboratório e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio da medicina, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,Engenheiro de eletromedicina/Engenheira de eletromedicina,released,Engenheiro de eletromedicina | Engenheira de eletromedicina,"Os engenheiros de eletromedicina concebem e desenvolvem sistemas, instalações e equipamentos medicotécnicos, como estimuladores cardíacos, scanners de IRM e máquinas de raios X. Controlam todo o processo de fabrico, desde a conceção à realização do produto. As atividades realizadas incluem, nomeadamente, a melhoria da conceção dos produtos, o desenvolvimento de métodos e técnicas para avaliar a adequação dos projetos, a coordenação da produção inicial, o desenvolvimento de procedimentos de teste e a conceção de diagramas de fabrico.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,Engenheiro eletrónico/Engenheira eletrónica
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,Historiador/Historiadora,released,Historiadora | Egiptólogo | Historiador | Historiadora de arte | Historiador de arte,"Os historiadores realizam atividades de investigação, análise, interpretação e apresentação do passado das sociedades humanas. Analisam documentos, fontes e vestígios do passado, a fim de compreenderem as sociedades passadas.",http://data.europa.eu/esco/isco/C2633,"Filósofos, historiadores e especialistas das ciências políticas"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,Químico/Química,released,Especialista em química orgânica | Especialista em química física | Especialista em química analítica | Especialista em química inorgânica,Os químicos realizam investigação laboratorial mediante ensaio e análise da estrutura química das substâncias. Traduzem os resultados da investigação em processos de produção industrial que são posteriormente utilizados no desenvolvimento ou melhoramento de produtos. Os químicos também testam a qualidade dos produtos fabricados e o seu impacto ambiental.,http://data.europa.eu/esco/isco/C2113,Químicos
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,Farmacologista,released,,"Os farmacologistas estudam a forma como os fármacos e os medicamentos interagem com os organismos, os sistemas vivos e as suas partes (ou seja, células, tecidos ou órgãos). A sua investigação visa identificar substâncias que podem ser ingeridas pelo ser humano e que exercem funções bioquímicas adequadas para a cura de doenças.",http://data.europa.eu/esco/isco/C2131,"Biólogos, botânicos, zoólogos e especialistas similares"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,Professor de Sociologia/Professora de Sociologia,released,Professor universitário de Sociologia | Professor de Sociologia | Professora de Sociologia | Professora universitária de Sociologia,"Os professores de Sociologia são professores universitários ou docentes em geral que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, a Sociologia, que é predominantemente de natureza académica. Prestam assistência ao professor do curso específico pelo quais são responsáveis na preparação de aulas e exames, na classificação de estudos e exames e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio da Sociologia, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,Kinesiologista,released,,"Os kinesiologistas estudam e investigam o movimento do corpo, dos seus músculos e das suas partes. Analisam e utilizam dados e métodos científicos para melhorar os movimentos do corpo, geralmente em seres humanos, mediante a compreensão de áreas como a fisiologia, a cinética, a neurologia e a biologia. Reconhecem os efeitos que alguns fatores, como a condição física, têm nos movimentos e desenvolvem soluções para melhorar a mecânica geral e a mobilidade.",http://data.europa.eu/esco/isco/C2269,"Outros profissionais de saúde, n.e."
