conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,redigir textos científicos ou académicos e documentação técnica,released,skill/competence,cross-sector,,"Redigir e editar textos científicos, académicos ou técnicos sobre diferentes matérias.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,escrever textos técnicos ou académicos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,gerir dados de investigação,released,skill/competence,cross-sector,,"Produzir e analisar dados científicos recolhidos a partir de métodos de investigação qualitativos e quantitativos. Armazenar e guardar os dados em bases de dados de investigação. Favorecer a reutilização de dados científicos e conhecer os princípios de gestão de dados abertos.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,gerir informação
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,interagir profissionalmente em contextos de investigação e profissionais,released,skill/competence,cross-sector,,"Demonstrar respeito e consideração por terceiros. Escutar, dar e receber feedback e responder aos outros num espírito de compreensão, passando também pela supervisão e pela liderança do pessoal num contexto profissional.
    ",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,trabalhar com outros
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,divulgar os resultados à comunidade científica,released,skill/competence,cross-sector,,"Divulgar publicamente os resultados científicos por qualquer meio adequado, incluindo conferências, workshops, colóquios e publicações científicas.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,escrever textos técnicos ou académicos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,programar software de código-fonte aberto,released,skill/competence,sector-specific,,"Programar e produzir software de código-fonte aberto. Conhecer os principais modelos de código-fonte aberto, regimes de licenciamento e práticas de codificação comummente adotadas na produção de software de código-fonte aberto.
    ",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programar sistemas de computador
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,falar várias línguas,released,skill/competence,cross-sector,,Dominar línguas estrangeiras para poder comunicar numa ou mais línguas estrangeiras.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,utilizar línguas estrangeiras
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,avaliar atividades de investigação,released,skill/competence,cross-sector,,"Avaliar os progressos, o impacto e os resultados de outros investigadores.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,dar feedback
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,demonstrar conhecimentos especializados numa determinada disciplina,released,skill/competence,cross-sector,,"Demonstrar conhecimentos profundos e uma compreensão complexa de um domínio de investigação específico, incluindo em termos de investigação responsável, ética da investigação e princípios de integridade científica, privacidade e requisitos do RGPD, em relação com atividades de investigação no âmbito de uma disciplina específica.
    ",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"conduzir estudos, pesquisas e análises"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,pensar de forma analítica,released,skill/competence,transversal,pensar usando a lógica e o raciocínio | pensar de forma lógica | pensar usando o raciocínio e a lógica,"Apresentar pensamentos com lógica e raciocínio, a fim de identificar os pontos fortes e fracos de soluções alternativas, conclusões ou abordagens a problemas.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"processar informações, ideias e conceitos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,ensinar em contextos académicos ou profissionais,released,skill/competence,cross-sector,,"Dar formação a estudantes sobre a teoria e a prática de disciplinas académicas ou profissionais, transmitindo o conteúdo das atividades de investigação próprias e de terceiros.
    ",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,ensinar matérias académicas ou de ensino profissional
