conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,mostrar iniciativa,released,,"Ser proativo e dar o primeiro passo numa determinada atividade sem esperar pelo que outros digam ou façam.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,adotar uma abordagem proativa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,adotar formas de promover a biodiversidade e o bem-estar dos animais,released,,"Adotar comportamentos que ajudem a manter ecossistemas estáveis e a combater a extinção em massa, por exemplo, fazendo escolhas alimentares conscientes que favoreçam a produção de alimentos biológicos e o bem-estar dos animais.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,aplicar aptidões e competências relacionadas com o ambiente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,prestar aconselhamento,released,,"Propor sugestões sobre o melhor plano de ação.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,dar apoio a outras pessoas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,aceitar críticas e orientações,released,,"Lidar com reações negativas de outras pessoas e reagir abertamente a críticas, tentando identificar os aspetos que podem ser melhorados.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,demonstrar disponibilidade para aprender
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"aplicar conhecimentos de filosofia, ética e religião",released,,"Descobrir e desenvolver uma perspetiva individual sobre o papel, o significado e a finalidade de si próprio, incluindo o que significa viver, morrer e ser humano.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,aplicar conhecimentos gerais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,adotar formas de reduzir a poluição,released,,"Aplicar medidas para reduzir a poluição atmosférica, sonora, luminosa, da água ou do ambiente, por exemplo utilizando transportes públicos, não deixando lixo no ambiente natural e reduzindo as emissões de luz e ruído desnecessárias, especialmente durante a noite.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,aplicar aptidões e competências relacionadas com o ambiente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,honrar compromissos,released,,"Executar as tarefas de forma autodisciplinada, confiável e orientada a objetivos.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,trabalhar eficazmente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,adaptar-se a exigências físicas,released,,"Dar provas de ser capaz de suportar situações de grande stress físico decorrente do trabalho ou de atividades desportivas. Inclui estar de joelhos, de pé ou em corrida durante um longo período ou a trabalhar em condições meteorológicas difíceis, como calor forte, frio e chuva.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,responder a circunstâncias físicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,assumir responsabilidade,released,,"Aceitar responsabilidade pelas decisões e ações profissionais próprias ou por aquelas delegadas noutras pessoas.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,adotar uma abordagem proativa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,mostrar determinação,released,,"Demonstrar empenho em fazer algo que é difícil e exige trabalho árduo. Dar provas de determinação movida pelo interesse ou pela apreciação pelo trabalho propriamente dito, na ausência de pressões externas.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,adotar uma abordagem proativa
